,Duration,N_Packets,N_Bytes,Idle_timeout,Protocol,Source_ip,Destination_ip
0,0.9,17,1856,60,icmp,10.0.0.5,10.0.0.2
1,0.9,18,1841,60,icmp,10.0.0.3,10.0.0.5
2,1,19,1744,60,icmp,10.0.0.5,10.0.0.3
3,2,34,1896,60,icmp,10.0.0.4,10.0.0.5
4,3,24,8116,60,icmp,10.0.0.5,10.0.0.4
5,4,54,7541,60,icmp,10.0.0.5,10.0.0.5
6,5,28,6554,60,icmp,10.0.0.6,10.0.0.5
7,6,21,8654,60,icmp,10.0.0.5,10.0.0.6
8,7,26,9564,60,icmp,10.0.0.7,10.0.0.5
9,8,25,5898,60,icmp,10.0.0.5,10.0.0.7
10,9,23,6554,60,icmp,10.0.0.8,10.0.0.5
11,10,25,9216,60,icmp,10.0.0.5,10.0.0.8
12,11,24,5474,60,icmp,10.0.0.9,10.0.0.5
13,12,28,8156,60,icmp,10.0.0.5,10.0.0.9
14,13,29,6565,60,icmp,10.0.0.10,10.0.0.5
15,14,61,1874,60,icmp,10.0.0.5,10.0.0.10
16,15,25,1756,60,icmp,10.0.0.11,10.0.0.5
17,16,64,4565,60,icmp,10.0.0.12,10.0.0.5
18,17,63,3556,60,icmp,10.0.0.13,10.0.0.5
19,18,65,4584,60,icmp,10.0.0.14,10.0.0.5
20,19,62,1788,60,icmp,10.0.0.15,10.0.0.5
21,20,68,1099,60,icmp,10.0.0.16,10.0.0.5
0,21,45,1099,60,icmp,10.0.0.5,10.0.0.2
1,22,48,1611,60,icmp,10.0.0.3,10.0.0.5
2,23,68,1722,60,icmp,10.0.0.5,10.0.0.3
3,24,24,1921,60,icmp,10.0.0.4,10.0.0.5
4,25,25,1308,60,icmp,10.0.0.5,10.0.0.4
5,26,29,1308,60,icmp,10.0.0.5,10.0.0.5
6,27,28,1084,60,icmp,10.0.0.6,10.0.0.5
7,117.772,35,1084,60,icmp,10.0.0.5,10.0.0.6
8,117.72,39,1076,60,icmp,10.0.0.7,10.0.0.5
9,117.717,48,1076,60,icmp,10.0.0.5,10.0.0.7
10,117.656,45,1120,60,icmp,10.0.0.8,10.0.0.5
11,117.654,47,1120,60,icmp,10.0.0.5,10.0.0.8
12,117.601,65,1164,60,icmp,10.0.0.9,10.0.0.5
13,117.599,58,1164,60,icmp,10.0.0.5,10.0.0.9
14,117.538,64,1027,60,icmp,10.0.0.10,10.0.0.5
15,117.537,70,820,60,icmp,10.0.0.5,10.0.0.10
16,98.157,78,724,60,icmp,10.0.0.11,10.0.0.5
17,97.08,65,629,60,icmp,10.0.0.12,10.0.0.5
18,76.97,49,451,60,icmp,10.0.0.13,10.0.0.5
19,59.733,120,404,60,icmp,10.0.0.14,10.0.0.5
20,44.758,125,292,60,icmp,10.0.0.15,10.0.0.5
21,36.636,124,172,60,icmp,10.0.0.16,10.0.0.5
22,63.25,156,1334,60,icmp,10.0.0.17,10.0.0.5
23,72.38,123,1341,60,icmp,10.0.0.18,10.0.0.5
0,148.037,182,1341,60,icmp,10.0.0.5,10.0.0.2
1,147.977,154,1341,60,icmp,10.0.0.3,10.0.0.5
2,124,90,1341,60,icmp,10.0.0.5,10.0.0.3
3,128,86,1428,60,icmp,10.0.0.4,10.0.0.5
4,111,87,1602,60,icmp,10.0.0.5,10.0.0.4
5,121,88,1602,60,icmp,10.0.0.5,10.0.0.5
6,132,89,1366,60,icmp,10.0.0.6,10.0.0.5
7,141,91,1366,60,icmp,10.0.0.5,10.0.0.6
8,149,92,1311,60,icmp,10.0.0.7,10.0.0.5
9,132,93,1311,60,icmp,10.0.0.5,10.0.0.7
10,148,94,1409,60,icmp,10.0.0.8,10.0.0.5
11,147.694,100,1409,60,icmp,10.0.0.5,10.0.0.8
12,147.641,101,1380,60,icmp,10.0.0.9,10.0.0.5
13,147.639,151,1380,60,icmp,10.0.0.5,10.0.0.9
14,147.578,154,1209,60,icmp,10.0.0.10,10.0.0.5
15,147.577,156,1064,60,icmp,10.0.0.5,10.0.0.10
16,128.197,152,1014,60,icmp,10.0.0.11,10.0.0.5
17,127.12,158,891,60,icmp,10.0.0.12,10.0.0.5
18,107.01,148,709,60,icmp,10.0.0.13,10.0.0.5
19,89.773,148,705,60,icmp,10.0.0.14,10.0.0.5
20,74.798,146,463,60,icmp,10.0.0.15,10.0.0.5
21,66.676,144,423,60,icmp,10.0.0.16,10.0.0.5
22,53.29,123,293,60,icmp,10.0.0.17,10.0.0.5
23,32.601,158,111,60,icmp,10.0.0.18,10.0.0.5
24,112,156,1735,60,icmp,10.0.0.19,10.0.0.5
25,116,145,1785,60,icmp,10.0.0.20,10.0.0.5
0,178.077,142,1785,60,icmp,10.0.0.5,10.0.0.2
1,178.017,135,1763,60,icmp,10.0.0.3,10.0.0.5
2,178.014,133,1763,60,icmp,10.0.0.5,10.0.0.3
3,177.965,131,1815,60,icmp,10.0.0.4,10.0.0.5
4,177.964,138,1979,60,icmp,10.0.0.5,10.0.0.4
5,177.906,128,1979,60,icmp,10.0.0.5,10.0.0.5
6,177.854,124,1808,60,icmp,10.0.0.6,10.0.0.5
7,177.852,132,1808,60,icmp,10.0.0.5,10.0.0.6
8,177.8,154,1711,60,icmp,10.0.0.7,10.0.0.5
9,177.797,24,1711,60,icmp,10.0.0.5,10.0.0.7
10,177.736,24,1778,60,icmp,10.0.0.8,10.0.0.5
11,177.734,24,1778,60,icmp,10.0.0.5,10.0.0.8
12,177.681,24,1752,60,icmp,10.0.0.9,10.0.0.5
13,177.679,24,1752,60,icmp,10.0.0.5,10.0.0.9
14,177.618,24,1501,60,icmp,10.0.0.10,10.0.0.5
15,177.617,23,1467,60,icmp,10.0.0.5,10.0.0.10
16,158.237,22,1390,60,icmp,10.0.0.11,10.0.0.5
17,157.16,21,1208,60,icmp,10.0.0.12,10.0.0.5
18,137.05,20,1046,60,icmp,10.0.0.13,10.0.0.5
19,119.813,65,1105,60,icmp,10.0.0.14,10.0.0.5
20,104.838,65,869,60,icmp,10.0.0.15,10.0.0.5
